City_ID,City,Max Temp,Country,Weather Right Now,Lat,Lng,Hotel Name
609,Santa Catalina,79.65,PH,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
611,Grand Gaube,79.38,MU,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
613,Waipawa,74.03,NZ,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
614,Guaraniacu,76.06,BR,broken clouds,-25.1008,-52.8781,Dalla´s Hotel
617,Pemangkat,76.48,ID,broken clouds,1.1667,108.9667,Ramah Kost KITA
622,Saint-Joseph,77.38,RE,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
624,Piacabucu,79.27,BR,clear sky,-10.4056,-36.4344,Piaçabuçu News
626,Alofi,78.69,NU,broken clouds,-19.0595,-169.9187,Taloa Heights
631,Pucallpa,78.84,PE,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
634,Benito Juarez,72.84,MX,scattered clouds,19.385,-99.165,Hotel Novit
635,Santarem,80.73,BR,scattered clouds,-2.4431,-54.7083,Ecotur Lodge
638,Balangiga,79.16,PH,broken clouds,11.1097,125.3875,Country Inn Bed and Breakfast
639,Lagos,79.12,NG,clear sky,6.5833,3.75,
647,Tchaourou,75.54,BJ,overcast clouds,8.8865,2.5975,SAFIR HOTEL
648,Rayong,80.73,TH,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
649,Prado,78.33,BR,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
650,Kalmunai,78.01,LK,overcast clouds,7.4167,81.8167,VS Villa
655,Coari,74.44,BR,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
658,Lazaro Cardenas,79.29,MX,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
659,Amapa,71.53,BR,overcast clouds,1.0,-52.0,
660,Waiuku,78.46,NZ,overcast clouds,-37.25,174.75,Waiuku Lodge Motel
663,Panukulan,77.63,PH,light rain,14.9333,121.8144,AC Lodging House
665,Cassilandia,70.99,BR,overcast clouds,-19.1133,-51.7342,Delirius Motel
666,Mogadishu,77.2,SO,broken clouds,2.0371,45.3438,Hotel Juba
669,Adrar,73.67,MR,overcast clouds,20.5022,-10.0711,
671,Monrovia,76.77,LR,scattered clouds,6.3005,-10.7969,Sunset Inn
672,Manokwari,78.76,ID,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
676,Pointe Michel,77.85,DM,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
681,Greymouth,72.16,NZ,overcast clouds,-42.4667,171.2,Kingsgate Hotel Greymouth
683,Pontianak,73.38,ID,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
686,Muncar,79.16,ID,overcast clouds,-8.4333,114.3333,Zaky Homestay
687,Urucui,76.73,BR,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
